201: reward=1.50 vs 17.94, winner=blue, r_win=0:49:1, win=0:198:3, time=152/24928
202: reward=1.00 vs 17.87, winner=blue, r_win=0:49:1, win=0:199:3, time=155/25084
203: reward=1.00 vs 18.26, winner=blue, r_win=0:49:1, win=0:200:3, time=126/25210
204: reward=0.00 vs 19.57, winner=blue, r_win=0:49:1, win=0:201:3, time=93/25302
205: reward=1.50 vs 18.20, winner=blue, r_win=0:49:1, win=0:202:3, time=132/25435
206: reward=1.00 vs 18.29, winner=blue, r_win=0:49:1, win=0:203:3, time=124/25558
207: reward=2.45 vs 0.24, winner=draw, r_win=0:48:2, win=0:203:4, time=168/25726
208: reward=1.83 vs 18.09, winner=blue, r_win=0:48:2, win=0:204:4, time=141/25867
209: reward=1.50 vs 18.80, winner=blue, r_win=0:48:2, win=0:205:4, time=161/26028
210: reward=2.45 vs 0.24, winner=draw, r_win=0:47:3, win=0:205:5, time=161/26189
211: reward=2.45 vs 17.07, winner=blue, r_win=0:47:3, win=0:206:5, time=229/26418
212: reward=1.83 vs 17.99, winner=blue, r_win=0:47:3, win=0:207:5, time=149/26567
213: reward=0.00 vs 19.44, winner=blue, r_win=0:47:3, win=0:208:5, time=102/26669
214: reward=1.60 vs 19.03, winner=blue, r_win=0:47:3, win=0:209:5, time=146/26814
215: reward=1.83 vs 19.09, winner=blue, r_win=0:47:3, win=0:210:5, time=141/26956
216: reward=2.08 vs 18.20, winner=blue, r_win=0:47:3, win=0:211:5, time=135/27090
217: reward=1.83 vs 0.21, winner=draw, r_win=0:46:4, win=0:211:6, time=141/27231
218: reward=1.83 vs 18.73, winner=blue, r_win=0:46:4, win=0:212:6, time=169/27400
219: reward=0.00 vs 19.84, winner=blue, r_win=0:46:4, win=0:213:6, time=74/27474
220: reward=2.45 vs 17.52, winner=blue, r_win=0:47:3, win=0:214:6, time=191/27665
221: reward=1.83 vs 18.14, winner=blue, r_win=0:47:3, win=0:215:6, time=137/27802
222: reward=1.83 vs 18.43, winner=blue, r_win=0:47:3, win=0:216:6, time=116/27918
223: reward=1.00 vs 19.45, winner=blue, r_win=0:47:3, win=0:217:6, time=108/28026
224: reward=1.00 vs 18.18, winner=blue, r_win=0:47:3, win=0:218:6, time=131/28157
225: reward=1.50 vs 17.96, winner=blue, r_win=0:47:3, win=0:219:6, time=151/28308
226: reward=2.28 vs 18.20, winner=blue, r_win=0:47:3, win=0:220:6, time=136/28444
227: reward=1.00 vs 18.01, winner=blue, r_win=0:47:3, win=0:221:6, time=144/28588
228: reward=1.50 vs 18.35, winner=blue, r_win=0:47:3, win=0:222:6, time=119/28708
229: reward=2.28 vs 17.88, winner=blue, r_win=0:47:3, win=0:223:6, time=162/28870
230: reward=2.08 vs 17.87, winner=blue, r_win=0:47:3, win=0:224:6, time=161/29031
231: reward=0.00 vs 19.73, winner=blue, r_win=0:47:3, win=0:225:6, time=82/29113
232: reward=1.83 vs 18.20, winner=blue, r_win=0:47:3, win=0:226:6, time=132/29245
233: reward=0.00 vs 18.73, winner=blue, r_win=0:47:3, win=0:227:6, time=88/29333
234: reward=1.00 vs 19.11, winner=blue, r_win=0:47:3, win=0:228:6, time=137/29470
235: reward=1.00 vs 19.03, winner=blue, r_win=0:47:3, win=0:229:6, time=139/29609
236: reward=1.00 vs 18.27, winner=blue, r_win=0:47:3, win=0:230:6, time=125/29734
237: reward=0.00 vs 19.70, winner=blue, r_win=0:47:3, win=0:231:6, time=91/29824
238: reward=0.00 vs 19.69, winner=blue, r_win=0:47:3, win=0:232:6, time=84/29908
239: reward=1.50 vs 19.50, winner=blue, r_win=0:47:3, win=0:233:6, time=108/30017
240: reward=0.00 vs 18.22, winner=blue, r_win=0:47:3, win=0:234:6, time=125/30141
241: reward=1.50 vs 17.93, winner=blue, r_win=0:47:3, win=0:235:6, time=153/30295
242: reward=1.50 vs 18.45, winner=blue, r_win=0:47:3, win=0:236:6, time=111/30406
243: reward=0.00 vs 19.63, winner=blue, r_win=0:47:3, win=0:237:6, time=88/30495
244: reward=1.00 vs 18.23, winner=blue, r_win=0:47:3, win=0:238:6, time=128/30623
245: reward=1.00 vs 18.30, winner=blue, r_win=0:47:3, win=0:239:6, time=122/30745
246: reward=1.00 vs 18.07, winner=blue, r_win=0:47:3, win=0:240:6, time=140/30885
247: reward=1.00 vs 18.89, winner=blue, r_win=0:47:3, win=0:241:6, time=150/31035
248: reward=1.50 vs 19.30, winner=blue, r_win=0:47:3, win=0:242:6, time=122/31158
249: reward=1.00 vs 18.08, winner=blue, r_win=0:47:3, win=0:243:6, time=139/31297
250: reward=1.50 vs 18.45, winner=blue, r_win=0:47:3, win=0:244:6, time=111/31408
251: reward=1.83 vs 18.55, winner=blue, r_win=0:47:3, win=0:245:6, time=107/31515
252: reward=1.00 vs 18.80, winner=blue, r_win=0:47:3, win=0:246:6, time=157/31672
253: reward=0.00 vs 19.41, winner=blue, r_win=0:47:3, win=0:247:6, time=104/31776
254: reward=1.00 vs 19.03, winner=blue, r_win=0:47:3, win=0:248:6, time=139/31915
255: reward=1.50 vs 18.96, winner=blue, r_win=0:47:3, win=0:249:6, time=151/32066
256: reward=2.28 vs 17.83, winner=blue, r_win=0:47:3, win=0:250:6, time=164/32230
257: reward=0.00 vs 18.79, winner=blue, r_win=0:48:2, win=0:251:6, time=150/32380
258: reward=2.45 vs 0.24, winner=draw, r_win=0:47:3, win=0:251:7, time=195/32575
259: reward=2.28 vs 17.52, winner=blue, r_win=0:47:3, win=0:252:7, time=191/32766
260: reward=1.00 vs 19.50, winner=blue, r_win=0:48:2, win=0:253:7, time=108/32874
261: reward=1.50 vs 18.37, winner=blue, r_win=0:48:2, win=0:254:7, time=120/32994
262: reward=1.00 vs 17.98, winner=blue, r_win=0:48:2, win=0:255:7, time=147/33141
263: reward=1.83 vs 18.25, winner=blue, r_win=0:48:2, win=0:256:7, time=129/33270
264: reward=1.83 vs 18.89, winner=blue, r_win=0:48:2, win=0:257:7, time=157/33427
265: reward=1.00 vs 18.33, winner=blue, r_win=0:48:2, win=0:258:7, time=120/33547
266: reward=2.45 vs 0.24, winner=draw, r_win=0:47:3, win=0:258:8, time=213/33760
267: reward=1.00 vs 18.02, winner=blue, r_win=0:48:2, win=0:259:8, time=143/33903
268: reward=1.00 vs 19.39, winner=blue, r_win=0:48:2, win=0:260:8, time=116/34019
269: reward=2.08 vs 18.26, winner=blue, r_win=0:48:2, win=0:261:8, time=130/34149
270: reward=1.83 vs 18.40, winner=blue, r_win=0:48:2, win=0:262:8, time=118/34267
271: reward=0.00 vs 18.86, winner=blue, r_win=0:48:2, win=0:263:8, time=152/34420
272: reward=2.08 vs 18.35, winner=blue, r_win=0:48:2, win=0:264:8, time=124/34543
273: reward=1.00 vs 17.98, winner=blue, r_win=0:48:2, win=0:265:8, time=147/34690
274: reward=0.00 vs 19.35, winner=blue, r_win=0:48:2, win=0:266:8, time=108/34798
275: reward=1.50 vs 18.10, winner=blue, r_win=0:48:2, win=0:267:8, time=140/34938
276: reward=0.00 vs 18.33, winner=blue, r_win=0:48:2, win=0:268:8, time=120/35058
277: reward=2.08 vs 18.04, winner=blue, r_win=0:48:2, win=0:269:8, time=147/35205
278: reward=0.00 vs 18.59, winner=blue, r_win=0:48:2, win=0:270:8, time=98/35303
279: reward=1.83 vs 17.90, winner=blue, r_win=0:48:2, win=0:271:8, time=155/35459
280: reward=2.08 vs 17.88, winner=blue, r_win=0:48:2, win=0:272:8, time=159/35618
281: reward=1.50 vs 19.36, winner=blue, r_win=0:48:2, win=0:273:8, time=118/35736
282: reward=1.00 vs 18.39, winner=blue, r_win=0:48:2, win=0:274:8, time=116/35852
283: reward=2.08 vs 17.97, winner=blue, r_win=0:48:2, win=0:275:8, time=152/36004
284: reward=1.50 vs 17.83, winner=blue, r_win=0:48:2, win=0:276:8, time=161/36165
285: reward=2.59 vs 0.26, winner=draw, r_win=0:47:3, win=0:276:9, time=203/36368
286: reward=1.50 vs 18.17, winner=blue, r_win=0:47:3, win=0:277:9, time=135/36502
287: reward=1.15 vs 19.21, winner=blue, r_win=0:47:3, win=0:278:9, time=212/36714
288: reward=2.08 vs 18.20, winner=blue, r_win=0:47:3, win=0:279:9, time=135/36849
289: reward=1.00 vs 18.08, winner=blue, r_win=0:47:3, win=0:280:9, time=139/36988
290: reward=1.83 vs 17.77, winner=blue, r_win=0:47:3, win=0:281:9, time=165/37153
291: reward=1.00 vs 18.14, winner=blue, r_win=0:47:3, win=0:282:9, time=135/37288
292: reward=2.59 vs 17.42, winner=blue, r_win=0:47:3, win=0:283:9, time=201/37488
293: reward=2.08 vs 18.77, winner=blue, r_win=0:47:3, win=0:284:9, time=168/37656
294: reward=1.00 vs 18.45, winner=blue, r_win=0:47:3, win=0:285:9, time=111/37767
295: reward=2.59 vs 17.31, winner=blue, r_win=0:47:3, win=0:286:9, time=209/37977
296: reward=1.00 vs 17.98, winner=blue, r_win=0:47:3, win=0:287:9, time=147/38123
297: reward=1.50 vs 18.18, winner=blue, r_win=0:47:3, win=0:288:9, time=131/38255
