256: reward=-34.82 vs 91.86, winner=blue, r_win=0:47:3, win=3:241:12, time=104/34640
257: reward=-34.34 vs 90.64, winner=blue, r_win=0:47:3, win=3:242:12, time=121/34761
258: reward=-34.46 vs 90.94, winner=blue, r_win=0:47:3, win=3:243:12, time=117/34878
259: reward=-36.99 vs 93.98, winner=blue, r_win=0:47:3, win=3:244:12, time=105/34983
260: reward=-36.39 vs 94.13, winner=blue, r_win=0:47:3, win=3:245:12, time=87/35071
261: reward=-37.81 vs 95.27, winner=blue, r_win=0:47:3, win=3:246:12, time=73/35144
262: reward=-33.64 vs 91.30, winner=blue, r_win=0:47:3, win=3:247:12, time=110/35254
263: reward=-36.36 vs 93.29, winner=blue, r_win=0:47:3, win=3:248:12, time=85/35339
264: reward=-34.02 vs 90.61, winner=blue, r_win=0:47:3, win=3:249:12, time=137/35476
265: reward=-33.45 vs 89.17, winner=blue, r_win=0:47:3, win=3:250:12, time=159/35635
266: reward=-36.33 vs 93.97, winner=blue, r_win=0:47:3, win=3:251:12, time=89/35724
267: reward=-32.70 vs 89.71, winner=blue, r_win=0:47:3, win=3:252:12, time=149/35873
268: reward=-34.98 vs 92.24, winner=blue, r_win=0:47:3, win=3:253:12, time=98/35971
269: reward=-36.36 vs 94.05, winner=blue, r_win=0:47:3, win=3:254:12, time=88/36060
270: reward=-35.48 vs 93.51, winner=blue, r_win=0:47:3, win=3:255:12, time=81/36140
271: reward=-34.53 vs 91.87, winner=blue, r_win=0:47:3, win=3:256:12, time=118/36259
272: reward=-35.13 vs 92.64, winner=blue, r_win=0:47:3, win=3:257:12, time=93/36351
273: reward=-33.52 vs 90.99, winner=blue, r_win=0:47:3, win=3:258:12, time=115/36466
274: reward=-35.13 vs 92.64, winner=blue, r_win=0:47:3, win=3:259:12, time=93/36559
275: reward=-33.26 vs 91.09, winner=blue, r_win=0:47:3, win=3:260:12, time=128/36687
276: reward=-37.27 vs 94.68, winner=blue, r_win=0:47:3, win=3:261:12, time=95/36782
277: reward=-32.20 vs 88.45, winner=blue, r_win=0:47:3, win=3:262:12, time=169/36951
278: reward=-13.02 vs -15.22, winner=draw, r_win=0:46:4, win=3:262:13, time=229/37180
279: reward=-33.94 vs 90.39, winner=blue, r_win=0:46:4, win=3:263:13, time=140/37320
280: reward=-35.80 vs 92.65, winner=blue, r_win=0:46:4, win=3:264:13, time=108/37428
281: reward=-35.20 vs 91.15, winner=blue, r_win=0:46:4, win=3:265:13, time=130/37558
282: reward=-34.52 vs 91.09, winner=blue, r_win=0:46:4, win=3:266:13, time=115/37673
283: reward=-33.62 vs 89.60, winner=blue, r_win=0:46:4, win=3:267:13, time=152/37825
284: reward=-33.76 vs 91.60, winner=blue, r_win=0:47:3, win=3:268:13, time=106/37931
285: reward=-33.59 vs 89.53, winner=blue, r_win=0:47:3, win=3:269:13, time=153/38085
286: reward=-32.78 vs 89.14, winner=blue, r_win=0:47:3, win=3:270:13, time=142/38227
287: reward=-33.17 vs 90.87, winner=blue, r_win=0:47:3, win=3:271:13, time=131/38358
288: reward=-33.43 vs 90.77, winner=blue, r_win=0:47:3, win=3:272:13, time=118/38476
289: reward=-34.16 vs 90.19, winner=blue, r_win=0:47:3, win=3:273:13, time=128/38604
290: reward=-33.20 vs 90.95, winner=blue, r_win=0:48:2, win=3:274:13, time=130/38735
291: reward=-36.01 vs 92.42, winner=blue, r_win=0:49:1, win=3:275:13, time=97/38832
