170: reward=0.00 vs 0.00, winner=draw, r_win=3:22:25, win=11:71:88, time=73/19972
171: reward=1.00 vs 0.10, winner=draw, r_win=3:21:26, win=11:71:89, time=129/20102
172: reward=1.00 vs 88.66, winner=blue, r_win=3:21:26, win=11:72:89, time=157/20258
173: reward=0.00 vs 0.00, winner=draw, r_win=3:21:26, win=11:72:90, time=75/20333
174: reward=1.00 vs 89.38, winner=blue, r_win=3:22:25, win=11:73:90, time=146/20479
175: reward=1.00 vs 0.10, winner=draw, r_win=3:22:25, win=11:73:91, time=129/20608
176: reward=1.00 vs 90.40, winner=blue, r_win=2:23:25, win=11:74:91, time=130/20738
177: reward=2.08 vs 87.88, winner=blue, r_win=2:24:24, win=11:75:91, time=170/20908
178: reward=1.50 vs 89.99, winner=blue, r_win=2:24:24, win=11:76:91, time=137/21045
179: reward=0.00 vs 0.00, winner=draw, r_win=2:24:24, win=11:76:92, time=78/21123
180: reward=0.00 vs 0.00, winner=draw, r_win=2:24:24, win=11:76:93, time=76/21200
181: reward=93.56 vs 0.10, winner=red, r_win=3:23:24, win=12:76:93, time=104/21303
182: reward=91.09 vs 0.00, winner=red, r_win=4:23:23, win=13:76:93, time=140/21444
183: reward=0.00 vs 0.00, winner=draw, r_win=4:22:24, win=13:76:94, time=93/21536
184: reward=94.65 vs 0.00, winner=red, r_win=5:21:24, win=14:76:94, time=88/21625
185: reward=92.12 vs 0.10, winner=red, r_win=6:20:24, win=15:76:94, time=125/21749
186: reward=1.00 vs 0.10, winner=draw, r_win=6:20:24, win=15:76:95, time=143/21893
187: reward=1.00 vs 0.10, winner=draw, r_win=6:19:25, win=15:76:96, time=86/21979
188: reward=1.00 vs 91.29, winner=blue, r_win=6:20:24, win=15:77:96, time=117/22096
189: reward=1.83 vs 90.95, winner=blue, r_win=6:20:24, win=15:78:96, time=122/22219
190: reward=93.10 vs 0.00, winner=red, r_win=7:20:23, win=16:78:96, time=110/22329
191: reward=0.00 vs 0.00, winner=draw, r_win=7:20:23, win=16:78:97, time=108/22437
192: reward=0.00 vs 0.00, winner=draw, r_win=7:20:23, win=16:78:98, time=117/22554
193: reward=1.50 vs 89.34, winner=blue, r_win=6:21:23, win=16:79:98, time=147/22701
194: reward=1.00 vs 0.10, winner=draw, r_win=6:20:24, win=16:79:99, time=126/22827
195: reward=1.00 vs 0.10, winner=draw, r_win=6:19:25, win=16:79:100, time=93/22919
196: reward=1.00 vs 90.77, winner=blue, r_win=6:20:24, win=16:80:100, time=125/23044
197: reward=1.50 vs 0.15, winner=draw, r_win=5:20:25, win=16:80:101, time=124/23168
198: reward=1.50 vs 0.15, winner=draw, r_win=5:19:26, win=16:80:102, time=117/23285
199: reward=1.00 vs 91.14, winner=blue, r_win=5:20:25, win=16:81:102, time=119/23404
200: reward=1.00 vs 91.52, winner=blue, r_win=5:21:24, win=16:82:102, time=114/23518
201: reward=1.50 vs 91.22, winner=blue, r_win=5:21:24, win=16:83:102, time=118/23636
202: reward=0.00 vs 0.00, winner=draw, r_win=5:21:24, win=16:83:103, time=78/23714
203: reward=2.08 vs 90.23, winner=blue, r_win=5:21:24, win=16:84:103, time=133/23848
204: reward=0.00 vs 0.00, winner=draw, r_win=5:20:25, win=16:84:104, time=82/23930
205: reward=1.00 vs 89.09, winner=blue, r_win=5:20:25, win=16:85:104, time=150/24080
206: reward=0.00 vs 0.00, winner=draw, r_win=5:20:25, win=16:85:105, time=121/24201
207: reward=1.00 vs 91.07, winner=blue, r_win=5:20:25, win=16:86:105, time=120/24321
208: reward=1.00 vs 0.10, winner=draw, r_win=5:20:25, win=16:86:106, time=137/24458
209: reward=0.00 vs 0.00, winner=draw, r_win=5:20:25, win=16:86:107, time=105/24563
210: reward=1.00 vs 0.10, winner=draw, r_win=5:20:25, win=16:86:108, time=120/24683
211: reward=94.65 vs 0.00, winner=red, r_win=6:20:24, win=17:86:108, time=88/24772
212: reward=0.00 vs 0.00, winner=draw, r_win=6:20:24, win=17:86:109, time=91/24862
213: reward=1.00 vs 0.10, winner=draw, r_win=6:20:24, win=17:86:110, time=108/24970
214: reward=1.00 vs 0.10, winner=draw, r_win=6:19:25, win=17:86:111, time=109/25080
215: reward=1.00 vs 0.10, winner=draw, r_win=6:18:26, win=17:86:112, time=148/25228
216: reward=1.00 vs 0.10, winner=draw, r_win=6:18:26, win=17:86:113, time=129/25357
217: reward=0.00 vs 0.00, winner=draw, r_win=6:17:27, win=17:86:114, time=80/25436
218: reward=1.00 vs 90.54, winner=blue, r_win=6:17:27, win=17:87:114, time=128/25564
219: reward=1.00 vs 91.22, winner=blue, r_win=6:17:27, win=17:88:114, time=118/25682
220: reward=1.83 vs 91.21, winner=blue, r_win=6:18:26, win=17:89:114, time=133/25816
221: reward=1.00 vs 88.59, winner=blue, r_win=6:19:25, win=17:90:114, time=158/25974
222: reward=93.43 vs 0.10, winner=red, r_win=7:18:25, win=18:90:114, time=110/26084
223: reward=0.00 vs 0.00, winner=draw, r_win=7:18:25, win=18:90:115, time=96/26180
224: reward=2.08 vs 89.09, winner=blue, r_win=7:18:25, win=18:91:115, time=166/26347
225: reward=92.57 vs 0.00, winner=red, r_win=8:18:24, win=19:91:115, time=118/26465
226: reward=0.00 vs 0.00, winner=draw, r_win=8:17:25, win=19:91:116, time=137/26601
227: reward=1.00 vs 90.25, winner=blue, r_win=8:17:25, win=19:92:116, time=132/26734
228: reward=0.00 vs 0.00, winner=draw, r_win=8:16:26, win=19:92:117, time=81/26815
229: reward=0.00 vs 0.00, winner=draw, r_win=8:16:26, win=19:92:118, time=73/26888
230: reward=0.00 vs 0.00, winner=draw, r_win=8:16:26, win=19:92:119, time=83/26970
231: reward=1.00 vs 89.52, winner=blue, r_win=7:17:26, win=19:93:119, time=143/27114
232: reward=1.50 vs 0.15, winner=draw, r_win=6:17:27, win=19:93:120, time=147/27261
233: reward=1.00 vs 0.10, winner=draw, r_win=6:17:27, win=19:93:121, time=92/27352
234: reward=0.00 vs 0.00, winner=draw, r_win=5:17:28, win=19:93:122, time=89/27442
235: reward=1.50 vs 89.52, winner=blue, r_win=4:18:28, win=19:94:122, time=159/27601
236: reward=1.00 vs 90.32, winner=blue, r_win=4:19:27, win=19:95:122, time=131/27732
237: reward=1.00 vs 91.90, winner=blue, r_win=4:20:26, win=19:96:122, time=108/27840
238: reward=1.50 vs 91.92, winner=blue, r_win=4:20:26, win=19:97:122, time=122/27963
239: reward=1.00 vs 91.75, winner=blue, r_win=4:20:26, win=19:98:122, time=110/28073
240: reward=1.83 vs 90.70, winner=blue, r_win=3:21:26, win=19:99:122, time=141/28214
241: reward=1.00 vs 0.00, winner=draw, r_win=3:21:26, win=19:99:123, time=97/28311
242: reward=0.00 vs 0.00, winner=draw, r_win=3:21:26, win=19:99:124, time=118/28429
243: reward=1.00 vs 91.29, winner=blue, r_win=3:21:26, win=19:100:124, time=117/28546
