241: reward=-34.89 vs 92.63, winner=blue, r_win=0:47:3, win=4:219:18, time=153/56493
242: reward=-30.29 vs 88.92, winner=blue, r_win=0:47:3, win=4:220:18, time=283/56775
243: reward=-29.59 vs 84.03, winner=blue, r_win=0:47:3, win=4:221:18, time=365/57140
244: reward=-34.78 vs 92.34, winner=blue, r_win=0:47:3, win=4:222:18, time=158/57298
245: reward=-34.36 vs 91.30, winner=blue, r_win=0:47:3, win=4:223:18, time=174/57472
246: reward=-32.95 vs 90.19, winner=blue, r_win=0:47:3, win=4:224:18, time=191/57662
247: reward=-31.30 vs 88.46, winner=blue, r_win=0:47:3, win=4:225:18, time=218/57881
248: reward=-33.80 vs 89.89, winner=blue, r_win=0:47:3, win=4:226:18, time=197/58078
249: reward=-31.85 vs 89.82, winner=blue, r_win=0:47:3, win=4:227:18, time=195/58273
250: reward=-31.93 vs 90.02, winner=blue, r_win=0:47:3, win=4:228:18, time=192/58465
251: reward=-30.98 vs 89.14, winner=blue, r_win=0:47:3, win=4:229:18, time=241/58706
252: reward=-32.72 vs 92.00, winner=blue, r_win=0:47:3, win=4:230:18, time=160/58866
253: reward=-31.34 vs 92.15, winner=blue, r_win=0:47:3, win=4:231:18, time=300/59166
254: reward=-29.91 vs 89.31, winner=blue, r_win=0:47:3, win=4:232:18, time=381/59546
255: reward=-33.53 vs 91.61, winner=blue, r_win=0:47:3, win=4:233:18, time=168/59714
256: reward=-32.40 vs 90.91, winner=blue, r_win=0:47:3, win=4:234:18, time=287/60000
257: reward=-34.31 vs 91.16, winner=blue, r_win=0:47:3, win=4:235:18, time=176/60177
258: reward=-31.69 vs 89.43, winner=blue, r_win=0:47:3, win=4:236:18, time=202/60379
259: reward=-33.06 vs 90.45, winner=blue, r_win=0:47:3, win=4:237:18, time=186/60565
260: reward=-35.12 vs 93.20, winner=blue, r_win=0:48:2, win=4:238:18, time=144/60709
261: reward=-32.80 vs 89.79, winner=blue, r_win=0:48:2, win=4:239:18, time=197/60907
262: reward=-32.85 vs 89.92, winner=blue, r_win=0:48:2, win=4:240:18, time=195/61102
263: reward=-32.25 vs 90.83, winner=blue, r_win=0:48:2, win=4:241:18, time=179/61280
264: reward=-33.77 vs 89.82, winner=blue, r_win=0:48:2, win=4:242:18, time=198/61479
265: reward=-32.61 vs 91.72, winner=blue, r_win=0:48:2, win=4:243:18, time=164/61643
266: reward=-32.98 vs 90.25, winner=blue, r_win=0:48:2, win=4:244:18, time=190/61833
267: reward=-32.64 vs 89.39, winner=blue, r_win=0:48:2, win=4:245:18, time=204/62036
268: reward=-32.39 vs 91.17, winner=blue, r_win=0:48:2, win=4:246:18, time=173/62210
269: reward=-34.61 vs 91.92, winner=blue, r_win=0:48:2, win=4:247:18, time=164/62374
270: reward=-33.47 vs 91.48, winner=blue, r_win=0:49:1, win=4:248:18, time=170/62544
271: reward=-32.61 vs 91.72, winner=blue, r_win=0:49:1, win=4:249:18, time=164/62708
272: reward=-32.03 vs 90.29, winner=blue, r_win=0:49:1, win=4:250:18, time=187/62895
