173: reward=0.00 vs 71.21, recent_win=2 vs 44, winner=blue, win=12 vs 154, draw=7, time=515/80056
174: reward=0.00 vs 78.72, recent_win=2 vs 44, winner=blue, win=12 vs 155, draw=7, time=333/80389
175: reward=0.00 vs 77.69, recent_win=2 vs 44, winner=blue, win=12 vs 156, draw=7, time=355/80744
176: reward=0.00 vs 73.44, recent_win=2 vs 44, winner=blue, win=12 vs 157, draw=7, time=455/81198
177: reward=0.00 vs 67.80, recent_win=2 vs 44, winner=blue, win=12 vs 158, draw=7, time=620/81818
178: reward=0.00 vs 73.56, recent_win=2 vs 44, winner=blue, win=12 vs 159, draw=7, time=452/82269
179: reward=0.00 vs 74.27, recent_win=2 vs 44, winner=blue, win=12 vs 160, draw=7, time=434/82703
180: reward=0.00 vs 0.00, recent_win=2 vs 43, winner=draw, win=12 vs 160, draw=8, time=499/83202
181: reward=0.00 vs 0.00, recent_win=1 vs 43, winner=draw, win=12 vs 160, draw=9, time=376/83577
182: reward=0.00 vs 78.11, recent_win=1 vs 43, winner=blue, win=12 vs 161, draw=9, time=346/83923
183: reward=0.00 vs 67.80, recent_win=1 vs 43, winner=blue, win=12 vs 162, draw=9, time=620/84542
184: reward=0.00 vs 78.39, recent_win=1 vs 43, winner=blue, win=12 vs 163, draw=9, time=340/84882
185: reward=0.00 vs 59.92, recent_win=1 vs 43, winner=blue, win=12 vs 164, draw=9, time=971/85853
186: reward=0.00 vs 0.00, recent_win=1 vs 42, winner=draw, win=12 vs 164, draw=10, time=448/86300
187: reward=0.00 vs 61.62, recent_win=1 vs 42, winner=blue, win=12 vs 165, draw=10, time=876/87176
188: reward=0.00 vs 68.22, recent_win=1 vs 42, winner=blue, win=12 vs 166, draw=10, time=606/87781
189: reward=0.00 vs 66.41, recent_win=1 vs 42, winner=blue, win=12 vs 167, draw=10, time=669/88450
190: reward=0.00 vs 74.85, recent_win=1 vs 42, winner=blue, win=12 vs 168, draw=10, time=420/88870
191: reward=0.00 vs 73.63, recent_win=1 vs 42, winner=blue, win=12 vs 169, draw=10, time=450/89319
192: reward=0.00 vs 0.00, recent_win=1 vs 42, winner=draw, win=12 vs 169, draw=11, time=305/89624
193: reward=0.00 vs 66.11, recent_win=0 vs 43, winner=blue, win=12 vs 170, draw=11, time=680/90303
194: reward=0.00 vs 73.05, recent_win=0 vs 43, winner=blue, win=12 vs 171, draw=11, time=465/90768
195: reward=0.00 vs 0.00, recent_win=0 vs 42, winner=draw, win=12 vs 171, draw=12, time=475/91243
196: reward=0.00 vs 52.87, recent_win=0 vs 42, winner=blue, win=12 vs 172, draw=12, time=1715/92958
197: reward=0.00 vs 0.00, recent_win=0 vs 41, winner=draw, win=12 vs 172, draw=13, time=549/93507
198: reward=0.00 vs 71.49, recent_win=0 vs 41, winner=blue, win=12 vs 173, draw=13, time=507/94013
199: reward=0.00 vs 0.00, recent_win=0 vs 40, winner=draw, win=12 vs 173, draw=14, time=451/94464
200: reward=0.00 vs 59.29, recent_win=0 vs 40, winner=blue, win=12 vs 174, draw=14, time=1010/95473
201: reward=0.00 vs 80.09, recent_win=0 vs 40, winner=blue, win=12 vs 175, draw=14, time=305/95778
202: reward=0.00 vs 60.74, recent_win=0 vs 40, winner=blue, win=12 vs 176, draw=14, time=923/96701
203: reward=0.00 vs 82.55, recent_win=0 vs 40, winner=blue, win=12 vs 177, draw=14, time=258/96958
204: reward=0.00 vs 73.24, recent_win=0 vs 40, winner=blue, win=12 vs 178, draw=14, time=460/97418
205: reward=0.00 vs 69.35, recent_win=0 vs 40, winner=blue, win=12 vs 179, draw=14, time=570/97987
206: reward=0.00 vs 75.18, recent_win=0 vs 40, winner=blue, win=12 vs 180, draw=14, time=412/98399
207: reward=0.00 vs 57.77, recent_win=0 vs 40, winner=blue, win=12 vs 181, draw=14, time=1117/99516
208: reward=0.00 vs 78.39, recent_win=0 vs 40, winner=blue, win=12 vs 182, draw=14, time=340/99856
209: reward=68.87 vs 0.00, recent_win=1 vs 39, winner=red, win=13 vs 182, draw=14, time=585/100440
210: reward=0.00 vs 77.14, recent_win=1 vs 39, winner=blue, win=13 vs 183, draw=14, time=367/100807
211: reward=0.00 vs 0.00, recent_win=1 vs 38, winner=draw, win=13 vs 183, draw=15, time=491/101298
