189: reward=-0.05 vs 1.00, win=5 vs 163, recent_win=0 vs 49, draw=21, winner=blue, time=70/15633
190: reward=1.00 vs 0.90, win=5 vs 164, recent_win=0 vs 49, draw=21, winner=blue, time=76/15709
191: reward=1.00 vs 0.90, win=5 vs 165, recent_win=0 vs 49, draw=21, winner=blue, time=87/15797
192: reward=0.95 vs 0.90, win=5 vs 166, recent_win=0 vs 49, draw=21, winner=blue, time=88/15885
193: reward=1.00 vs 0.90, win=5 vs 167, recent_win=0 vs 49, draw=21, winner=blue, time=83/15968
194: reward=1.00 vs 1.00, win=5 vs 168, recent_win=0 vs 49, draw=21, winner=blue, time=69/16037
195: reward=2.00 vs -0.20, win=5 vs 169, recent_win=0 vs 49, draw=21, winner=blue, time=84/16121
196: reward=2.00 vs 1.00, win=5 vs 170, recent_win=0 vs 49, draw=21, winner=blue, time=75/16196
197: reward=1.00 vs 0.90, win=5 vs 171, recent_win=0 vs 49, draw=21, winner=blue, time=85/16281
198: reward=1.00 vs 0.90, win=5 vs 172, recent_win=0 vs 49, draw=21, winner=blue, time=76/16357
199: reward=1.00 vs 0.90, win=5 vs 173, recent_win=0 vs 49, draw=21, winner=blue, time=76/16433
200: reward=0.90 vs 1.80, win=5 vs 174, recent_win=0 vs 49, draw=21, winner=blue, time=95/16528
201: reward=2.00 vs 0.80, win=5 vs 175, recent_win=0 vs 49, draw=21, winner=blue, time=75/16604
202: reward=2.00 vs 1.00, win=5 vs 176, recent_win=0 vs 49, draw=21, winner=blue, time=61/16665
203: reward=2.00 vs 1.00, win=5 vs 177, recent_win=0 vs 49, draw=21, winner=blue, time=83/16748
204: reward=2.00 vs 1.00, win=5 vs 178, recent_win=0 vs 49, draw=21, winner=blue, time=61/16809
205: reward=2.00 vs 1.00, win=5 vs 179, recent_win=0 vs 49, draw=21, winner=blue, time=61/16870
206: reward=2.00 vs 0.90, win=5 vs 179, recent_win=0 vs 48, draw=22, winner=draw, time=72/16942
207: reward=1.00 vs 0.90, win=5 vs 180, recent_win=0 vs 48, draw=22, winner=blue, time=82/17024
208: reward=1.00 vs 1.00, win=5 vs 181, recent_win=0 vs 48, draw=22, winner=blue, time=70/17094
209: reward=1.00 vs 1.00, win=5 vs 182, recent_win=0 vs 48, draw=22, winner=blue, time=78/17172
210: reward=2.00 vs 0.80, win=5 vs 183, recent_win=0 vs 48, draw=22, winner=blue, time=102/17274
211: reward=2.00 vs 1.00, win=5 vs 184, recent_win=0 vs 48, draw=22, winner=blue, time=73/17347
212: reward=1.00 vs 0.90, win=5 vs 185, recent_win=0 vs 48, draw=22, winner=blue, time=76/17423
213: reward=1.00 vs 0.90, win=5 vs 186, recent_win=0 vs 48, draw=22, winner=blue, time=83/17506
214: reward=1.00 vs 1.00, win=5 vs 187, recent_win=0 vs 48, draw=22, winner=blue, time=65/17571
215: reward=-0.05 vs 1.00, win=5 vs 188, recent_win=0 vs 48, draw=22, winner=blue, time=61/17632
216: reward=-0.05 vs 1.00, win=5 vs 189, recent_win=0 vs 48, draw=22, winner=blue, time=62/17695
217: reward=1.00 vs 0.90, win=5 vs 190, recent_win=0 vs 48, draw=22, winner=blue, time=81/17775
218: reward=1.00 vs 0.90, win=5 vs 191, recent_win=0 vs 48, draw=22, winner=blue, time=94/17869
