231: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 227, draw=0, time=76/19538
232: reward=0.00 vs 92.29, recent_win=0 vs 50, winner=blue, win=4 vs 228, draw=0, time=100/19638
233: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=4 vs 229, draw=0, time=62/19700
234: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=4 vs 230, draw=0, time=107/19807
235: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=4 vs 231, draw=0, time=81/19888
236: reward=0.00 vs 95.30, recent_win=0 vs 50, winner=blue, win=4 vs 232, draw=0, time=59/19947
237: reward=0.00 vs 94.27, recent_win=0 vs 50, winner=blue, win=4 vs 233, draw=0, time=73/20020
238: reward=0.00 vs 93.55, recent_win=0 vs 50, winner=blue, win=4 vs 234, draw=0, time=83/20103
239: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=4 vs 235, draw=0, time=106/20209
240: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=4 vs 236, draw=0, time=81/20290
241: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=4 vs 237, draw=0, time=81/20371
242: reward=0.00 vs 92.21, recent_win=0 vs 50, winner=blue, win=4 vs 238, draw=0, time=102/20472
243: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 239, draw=0, time=76/20549
244: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=4 vs 240, draw=0, time=106/20655
245: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=4 vs 241, draw=0, time=99/20754
246: reward=0.00 vs 93.63, recent_win=0 vs 50, winner=blue, win=4 vs 242, draw=0, time=82/20836
247: reward=0.00 vs 91.98, recent_win=0 vs 50, winner=blue, win=4 vs 243, draw=0, time=105/20941
248: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=4 vs 244, draw=0, time=77/21018
249: reward=0.00 vs 91.67, recent_win=0 vs 50, winner=blue, win=4 vs 245, draw=0, time=109/21127
250: reward=0.00 vs 95.68, recent_win=0 vs 50, winner=blue, win=4 vs 246, draw=0, time=54/21182
251: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 247, draw=0, time=74/21256
252: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=4 vs 248, draw=0, time=106/21362
