274: reward=1.18 vs 92.17, winner=blue, r_win=6:22:22, win=23:134:117, time=138/32646
275: reward=1.75 vs 91.79, winner=blue, r_win=6:23:21, win=23:135:117, time=149/32795
276: reward=1.73 vs 92.15, winner=blue, r_win=6:24:20, win=23:136:117, time=143/32939
277: reward=2.31 vs 91.03, winner=blue, r_win=6:24:20, win=23:137:117, time=159/33098
278: reward=1.10 vs 1.00, winner=draw, r_win=5:24:21, win=23:137:118, time=108/33206
279: reward=0.18 vs 94.86, winner=blue, r_win=5:24:21, win=23:138:118, time=95/33301
280: reward=1.71 vs 2.23, winner=draw, r_win=5:23:22, win=23:138:119, time=135/33435
281: reward=1.18 vs 93.50, winner=blue, r_win=5:24:21, win=23:139:119, time=111/33547
282: reward=0.18 vs 1.83, winner=draw, r_win=5:23:22, win=23:139:120, time=150/33697
283: reward=0.15 vs 1.50, winner=draw, r_win=5:22:23, win=23:139:121, time=94/33791
284: reward=1.71 vs 93.35, winner=blue, r_win=5:22:23, win=23:140:121, time=120/33911
285: reward=93.74 vs 1.60, winner=red, r_win=6:21:23, win=24:140:121, time=104/34015
286: reward=2.31 vs 91.38, winner=blue, r_win=6:21:23, win=24:141:121, time=153/34168
287: reward=2.04 vs 92.27, winner=blue, r_win=6:21:23, win=24:142:121, time=137/34305
288: reward=1.15 vs 1.50, winner=draw, r_win=6:20:24, win=24:142:122, time=140/34445
289: reward=1.18 vs 2.18, winner=draw, r_win=6:20:24, win=24:142:123, time=115/34560
290: reward=0.18 vs 2.08, winner=draw, r_win=6:20:24, win=24:142:124, time=99/34659
291: reward=1.21 vs 2.18, winner=draw, r_win=6:20:24, win=24:142:125, time=139/34798
292: reward=1.21 vs 2.18, winner=draw, r_win=6:20:24, win=24:142:126, time=117/34915
293: reward=1.18 vs 2.18, winner=draw, r_win=5:20:25, win=24:142:127, time=93/35008
294: reward=0.18 vs 2.08, winner=draw, r_win=5:20:25, win=24:142:128, time=105/35113
295: reward=1.23 vs 2.38, winner=draw, r_win=5:20:25, win=24:142:129, time=155/35268
296: reward=1.21 vs 92.24, winner=blue, r_win=5:20:25, win=24:143:129, time=137/35405
297: reward=0.23 vs 2.28, winner=draw, r_win=5:19:26, win=24:143:130, time=122/35528
298: reward=0.15 vs 1.50, winner=draw, r_win=5:19:26, win=24:143:131, time=80/35607
